Seekonk,2394,1961,3426,1153,775,3682,1862,3102,1276,3521,1560,3260,2507,4416,4222,2816,3548,3447,2650,2294,2196,2714,2444,2596,5430,958,3397,3622,4478,2465
Somerset,3047,3066,3812,2245,800,5119,2330,4245,1690,4550,2529,3726,2606,7223,5514,4226,4047,5632,3838,2965,2826,3940,3117,3756,7073,1215,3970,5619,5686,3715
Swansea,2467,2223,3319,1578,688,4211,1992,3468,1383,3820,1960,3246,2516,5740,4856,3391,3602,4567,3142,2350,2282,3185,2670,3007,6008,1024,3330,4354,4762,2838
Taunton,6254,6602,8995,4179,1778,11277,5711,8707,3812,9472,6197,7157,7844,14041,12485,9251,7906,13848,9435,6693,7025,8425,7709,8375,16954,2683,9007,12976,13557,8271
Westport,2414,2439,3150,1759,955,3934,2134,3472,1602,3729,2087,3262,2304,6051,5079,3254,3971,4258,3110,2954,2682,3324,2760,3498,6412,1152,3889,4244,5162,2896
Aquinnah,76,87,95,76,58,109,106,100,94,107,119,70,152,155,257,41,223,71,93,119,63,138,94,117,258,28,205,84,240,55
Chilmark,215,313,313,225,191,324,253,293,213,287,244,238,246,462,586,126,583,122,211,341,205,318,209,338,632,53,546,154,558,146
Edgartown,641,783,1002,449,410,1054,719,923,520,1002,675,833,952,1326,1711,586,1665,601,925,897,679,1069,854,967,1994,238,1515,922,1686,746
Gosnold,27,19,38,8,18,27,27,32,24,26,23,26,25,51,58,15,44,32,28,38,27,35,28,38,69,12,60,24,65,18
Oak Bluffs,642,870,984,633,410,1234,737,1026,570,1057,792,823,988,1513,1888,647,1794,719,977,1068,700,1238,914,1111,2158,274,1646,1010,1855,787
Tisbury,567,785,873,587,454,1024,689,870,517,914,707,734,904,1412,1842,496,1739,577,832,1119,605,1252,785,1137,1852,206,1598,830,1793,624
W. Tisbury,421,717,657,518,448,703,673,650,547,698,646,589,570,1156,1473,270,1375,344,563,873,487,881,525,895,1668,137,1462,467,1587,349
Amesbury,2572,2544,3765,1376,1072,4324,3014,2669,1762,3541,2350,2934,2910,5478,5832,2585,4772,3596,3742,2355,2982,2868,2831,3290,6620,858,4567,3686,5709,2500
Andover,6099,6586,9953,3209,3892,9083,6160,6876,4048,8246,4871,7413,6490,11355,11316,6678,10646,7229,7895,6082,6590,6838,6763,7316,14588,2333,9345,8879,11170,7065
Beverly,6779,7361,9792,3816,3290,10521,6957,7665,4717,8987,6050,7673,6644,13520,13431,6788,10972,9112,8546,6835,5686,8976,6668,8794,15763,2543,9944,10287,12690,7460
Boxford,2076,1552,2876,679,982,2544,2079,1573,1209,2233,1273,2146,2143,2739,3194,1727,2872,2017,2609,1577,2211,1818,2349,1836,4097,568,2776,2292,3000,2018
Danvers,4722,4712,7327,2213,1932,7789,4836,5440,3112,6611,4150,5641,4698,9090,8665,5204,6949,6823,6405,4143,4690,5530,5164,5448,11324,1855,6457,7816,8344,5903
Essex,733,829,1148,455,406,1178,753,956,528,1011,610,938,805,1380,1529,637,1310,846,1066,685,800,856,858,880,1768,268,1248,876,1418,674
Georgetown,1433,1351,2251,729,684,2323,1620,1546,961,2052,1275,1754,1707,2961,2993,1698,2460,2181,2292,1309,1796,1666,1955,1663,3820,553,2402,2405,2969,1827
Gloucester,4534,5234,6913,3176,2615,7649,4874,6200,3495,7030,4138,6351,4736,10128,10391,4756,8747,6265,6197,4957,5551,5137,5017,6161,11807,1531,8086,6781,9951,4771
Groveland,1486,965,455,2037,1945,507,1364,1344,760,1823,1114,1493,1352,2464,2407,1410,2044,1765,1944,1059,1667,1248,1657,1350,3020,492,1969,1917,2375,1466
Hamilton,1652,1698,2634,828,835,2388,1593,1839,1114,2132,1386,1849,1574,3052,2916,1734,2840,1778,1800,1745,1480,1857,1523,2030,3453,485,2261,2137,2672,1703
Haverhill,8641,7662,13516,3375,2859,13848,8472,8677,5164,10526,7226,9009,9447,16726,17157,9259,14107,12150,11620,7549,8827,9828,10115,9249,20504,3710,12452,14450,16932,9660
Ipswich,2543,2997,3829,1605,1578,3791,2343,3560,1898,3648,2474,3104,2588,5415,5384,2640,4461,3507,3565,2679,3003,3067,2906,3372,6380,963,4494,3673,5212,2801
Lawrence,4853,5254,5689,4382,1834,8055,3539,5454,4225,5975,5998,3971,4842,11923,7865,8633,8691,7703,4452,6983,3681,7597,4194,7291,11872,4313,5241,11905,9927,10475
Lynn,8974,9976,14103,4890,3017,15706,7466,11480,6238,11622,9558,8505,7948,21028,17987,11011,12718,16163,10768,9643,6950,13017,8360,12231,23126,4360,11839,17151,18446,12293
Lynnfield,2886,2300,4286,997,1192,3928,2197,2786,1437,3228,1872,2774,2733,4121,3848,3040,3376,3467,3525,2017,2874,2476,3071,2492,5593,885,3102,3875,3801,3171
Manchester-by-the-Sea,1287,1236,1902,689,823,1721,1314,1273,871,1547,964,1443,1254,2094,2286,1091,2126,1229,1408,1276,1273,1302,1212,1486,2690,372,1991,1465,2255,1165
Marblehead,4252,5013,6793,2744,2793,6555,4120,5193,3203,5531,3584,5134,4183,7972,8276,3960,7317,4842,5279,4657,4028,5464,4382,5582,9519,1239,7228,5088,8400,3873
Merrimac,1144,1204,1763,558,491,1864,1399,1196,778,1699,1052,1437,1238,2292,2358,1185,1951,1575,1606,1057,1350,1220,1334,1334,2782,399,1805,1676,2200,1230
Methuen,6577,5808,9599,2055,1890,9863,6700,6581,3763,8830,5401,7249,7674,12582,12355,7994,10791,9499,9093,5685,7255,7129,8114,6809,15435,3464,8130,12530,11680,8748
Middleton,1441,1164,2089,502,473,2024,1485,1737,975,2154,1167,1964,1616,2670,2683,1608,2001,2277,2249,1172,1501,1773,1980,1463,3599,494,2183,2360,2654,1818
Nahant,804,933,1362,479,501,1275,937,838,606,1071,772,907,753,1491,1554,703,1059,1196,1004,796,734,1038,861,1000,1829,234,1190,1042,1458,767
Newbury,1456,1536,2131,828,745,2215,1529,1591,997,1933,1180,1752,1439,2812,2901,1361,2386,1841,2226,1230,1660,1620,1675,1793,3452,437,2557,1819,3035,1351
Newburyport,3309,4183,5189,2681,2044,5363,3859,3842,2446,4855,3151,4084,3406,7273,7261,3483,6600,4050,4892,3587,3684,4425,3556,4921,8850,1031,6390,4266,7496,3073
N. Andover,5202,4659,7672,2170,2364,7626,5247,5063,3325,6467,3830,5928,5820,8880,9300,5464,8190,6495,6897,4147,5396,5222,5878,5162,11869,2090,6839,8020,8865,5903
